id,date,effectiveDate,resolutionDate,typeCode,typeDesc,description,player_name,to_team,from_team
901992,2026-04-21,2026-04-21,NA,CU,Recalled,Boston Red Sox recalled LHP Tyler Samaniego from Worcester Red Sox.,Tyler Samaniego,Boston Red Sox,Worcester Red Sox
902245,2026-04-22,2026-04-22,2026-04-22,SC,Status Change,Boston Red Sox transferred 1B Triston Casas from the 10-day injured list to the 60-day injured list. Recovery from left patellar tendon repair.,Triston Casas,Boston Red Sox,NA
902243,2026-04-22,2026-04-22,NA,SE,Selected,Boston Red Sox selected the contract of LHP Eduardo Rivera from Worcester Red Sox.,Eduardo Rivera,Boston Red Sox,Worcester Red Sox
902244,2026-04-22,2026-04-22,NA,OPT,Optioned,Boston Red Sox optioned RHP Jack Anderson to Worcester Red Sox.,Jack Anderson,Worcester Red Sox,Boston Red Sox
902492,2026-04-23,2026-04-23,NA,OPT,Optioned,Boston Red Sox optioned LHP Eduardo Rivera to Worcester Red Sox.,Eduardo Rivera,Worcester Red Sox,Boston Red Sox
902491,2026-04-23,2026-04-23,NA,CU,Recalled,Boston Red Sox recalled LHP Payton Tolle from Worcester Red Sox.,Payton Tolle,Boston Red Sox,Worcester Red Sox
904045,2026-04-29,2026-04-26,2026-04-26,SC,Status Change,"Boston Red Sox placed LHP Garrett Crochet on the 15-day injured list retroactive to April 26, 2026. Left shoulder inflammation.",Garrett Crochet,Boston Red Sox,NA
904044,2026-04-29,2026-04-29,NA,CU,Recalled,Boston Red Sox recalled OF Nate Eaton from Worcester Red Sox.,Nate Eaton,Boston Red Sox,Worcester Red Sox
904614,2026-04-30,2026-04-30,NA,OPT,Optioned,Boston Red Sox optioned OF Nate Eaton to Worcester Red Sox.,Nate Eaton,Worcester Red Sox,Boston Red Sox
904850,2026-05-01,2026-05-01,NA,CU,Recalled,Boston Red Sox recalled LHP Jake Bennett from Worcester Red Sox.,Jake Bennett,Boston Red Sox,Worcester Red Sox
905532,2026-05-03,2026-05-03,2026-05-03,ASG,Assigned,Boston Red Sox sent RHP Justin Slaten on a rehab assignment to Portland Sea Dogs.,Justin Slaten,Portland Sea Dogs,Boston Red Sox
905676,2026-05-04,2026-05-02,2026-05-02,SC,Status Change,"Boston Red Sox placed LHP Danny Coulombe on the 15-day injured list retroactive to May 2, 2026. Cervical spasms.",Danny Coulombe,Boston Red Sox,NA
905679,2026-05-04,2026-05-04,2026-05-04,SC,Status Change,Boston Red Sox placed LHP Patrick Sandoval on the 60-day injured list. Left UCL surgery recovery.,Patrick Sandoval,Boston Red Sox,NA
905678,2026-05-04,2026-05-04,NA,SE,Selected,Boston Red Sox selected the contract of LHP Alec Gamboa from Worcester Red Sox.,Alec Gamboa,Boston Red Sox,Worcester Red Sox
906236,2026-05-06,2026-05-06,2026-05-06,SC,Status Change,Boston Red Sox activated RHP Sonny Gray from the 15-day injured list.,Sonny Gray,Boston Red Sox,NA
907217,2026-05-06,2026-05-06,2026-05-06,ASG,Assigned,Boston Red Sox sent RHP Justin Slaten on a rehab assignment to Worcester Red Sox.,Justin Slaten,Worcester Red Sox,Boston Red Sox
906089,2026-05-06,2026-05-06,2026-05-06,ASG,Assigned,Boston Red Sox sent RHP Justin Slaten on a rehab assignment to Worcester Red Sox.,Justin Slaten,Worcester Red Sox,Boston Red Sox
906237,2026-05-06,2026-05-06,NA,OPT,Optioned,Boston Red Sox optioned LHP Alec Gamboa to Worcester Red Sox.,Alec Gamboa,Worcester Red Sox,Boston Red Sox
906711,2026-05-07,2026-05-05,2026-05-05,SC,Status Change,"Boston Red Sox placed LF Roman Anthony on the 10-day injured list retroactive to May 5, 2026. Right wrist sprain.",Roman Anthony,Boston Red Sox,NA
906552,2026-05-07,2026-05-07,2026-05-07,SFA,Signed as Free Agent,Boston Red Sox signed free agent LHP Raymond Burgos to a minor league contract.,Raymond Burgos,Boston Red Sox,NA
